""   ,Date      ,symbol,value      ,change              ,type
246  ,2007-03-15,MSFT  ,21.957158  ,0.183284193701213   ,price
247  ,2007-03-15,IBM   ,77.588968  ,-0.214014961508437  ,price
248  ,2007-03-15,SBUX  ,13.556556  ,3.34572438604613    ,price
249  ,2007-03-15,AAPL  ,11.849974  ,0.0223291629163099  ,price
250  ,2007-03-15,GSPC  ,1392.280029,-0.382830888110078  ,price
251  ,2007-03-16,MSFT  ,21.997402  ,1.82948877326513    ,price
252  ,2007-03-16,IBM   ,77.422916  ,0.79356349740173    ,price
253  ,2007-03-16,SBUX  ,14.010121  ,1.50425538794419    ,price
254  ,2007-03-16,AAPL  ,11.85262   ,1.7189448408875     ,price
255  ,2007-03-16,GSPC  ,1386.949951,1.08944868479972    ,price
256  ,2007-03-19,MSFT  ,22.399842  ,0.0359332891723064  ,price
257  ,2007-03-19,IBM   ,78.037316  ,0.542612203628325   ,price
258  ,2007-03-19,SBUX  ,14.220869  ,1.095355002567      ,price
259  ,2007-03-19,AAPL  ,12.05636   ,0.384062851474251   ,price
260  ,2007-03-19,GSPC  ,1402.060059,0.633345336599463   ,price
261  ,2007-03-20,MSFT  ,22.407891  ,2.44253240967657    ,price
262  ,2007-03-20,IBM   ,78.460756  ,0.9100536833981     ,price
263  ,2007-03-20,SBUX  ,14.376638  ,2.83620551619926    ,price
264  ,2007-03-20,AAPL  ,12.102664  ,2.61259008760384    ,price
265  ,2007-03-20,GSPC  ,1410.939941,1.70808815454746    ,price
266  ,2007-03-21,MSFT  ,22.955211  ,-0.876576564685026  ,price
267  ,2007-03-21,IBM   ,79.174791  ,-0.178268863381019  ,price
268  ,2007-03-21,SBUX  ,14.784389  ,-1.952282234998     ,price
269  ,2007-03-21,AAPL  ,12.418857  ,0.0958783888082517  ,price
270  ,2007-03-21,GSPC  ,1435.040039,-0.0348422334158998 ,price
271  ,2007-03-22,MSFT  ,22.753991  ,-0.884332774852554  ,price
272  ,2007-03-22,IBM   ,79.033647  ,-0.168089168401906  ,price
273  ,2007-03-22,SBUX  ,14.495756  ,-0.695320754571201  ,price
274  ,2007-03-22,AAPL  ,12.430764  ,-0.468281756455195  ,price
275  ,2007-03-22,GSPC  ,1434.540039,0.109438980949912   ,price
276  ,2007-03-23,MSFT  ,22.55277   ,0.713774848943174   ,price
277  ,2007-03-23,IBM   ,78.9008    ,-0.0315674872751593 ,price
278  ,2007-03-23,SBUX  ,14.394964  ,1.6868260316594     ,price
279  ,2007-03-23,AAPL  ,12.372553  ,2.4914421461763     ,price
280  ,2007-03-23,GSPC  ,1436.109985,0.0967902886630197  ,price
281  ,2007-03-26,MSFT  ,22.713746  ,-1.77179492981915   ,price
282  ,2007-03-26,IBM   ,78.875893  ,-0.284207241875535  ,price
283  ,2007-03-26,SBUX  ,14.637782  ,-0.719876822868379  ,price
284  ,2007-03-26,AAPL  ,12.680808  ,-0.406882589816043  ,price
285  ,2007-03-26,GSPC  ,1437.5     ,-0.618435826086953  ,price
286  ,2007-03-27,MSFT  ,22.311305  ,-0.288598089623173  ,price
287  ,2007-03-27,IBM   ,78.651722  ,-0.496148069078519  ,price
288  ,2007-03-27,SBUX  ,14.532408  ,-1.38713419001173   ,price
289  ,2007-03-27,AAPL  ,12.629212  ,-2.32558452578039   ,price
290  ,2007-03-27,GSPC  ,1428.609985,-0.796578850735107  ,price
291  ,2007-03-28,MSFT  ,22.246915  ,0.397974280928384   ,price
292  ,2007-03-28,IBM   ,78.261493  ,0.328874380150137   ,price
293  ,2007-03-28,SBUX  ,14.330824  ,0.159844262967712   ,price
294  ,2007-03-28,AAPL  ,12.335509  ,0.546981887816706   ,price
295  ,2007-03-28,GSPC  ,1417.22998 ,0.373972402136169   ,price
296  ,2007-03-29,MSFT  ,22.335452  ,0.432433603761404   ,price
297  ,2007-03-29,IBM   ,78.518875  ,-0.327796341962353  ,price
298  ,2007-03-29,SBUX  ,14.353731  ,0.0957590747659972  ,price
299  ,2007-03-29,AAPL  ,12.402982  ,-0.896010330418923  ,price
300  ,2007-03-29,GSPC  ,1422.530029,-0.117399560357538  ,price
301  ,2007-03-30,MSFT  ,22.432038  ,-0.466453382434526  ,price
302  ,2007-03-30,IBM   ,78.261493  ,1.00784686026881    ,price
303  ,2007-03-30,SBUX  ,14.367476  ,-0.35077142289989   ,price
304  ,2007-03-30,AAPL  ,12.29185   ,0.796478967771324   ,price
305  ,2007-03-30,GSPC  ,1420.859985,0.259706377754026   ,price
306  ,2007-04-02,MSFT  ,22.327403  ,0.468639366611505   ,price
307  ,2007-04-02,IBM   ,79.050249  ,0.934775044162111   ,price
308  ,2007-04-02,SBUX  ,14.317079  ,0.768005820181619   ,price
309  ,2007-04-02,AAPL  ,12.389752  ,0.907629143827902   ,price
310  ,2007-04-02,GSPC  ,1424.550049,0.92801028712751    ,price
311  ,2007-04-03,MSFT  ,22.432038  ,2.26049456585265    ,price
312  ,2007-04-03,IBM   ,79.789191  ,0.114465379151415   ,price
313  ,2007-04-03,SBUX  ,14.427035  ,-0.476341812437547  ,price
314  ,2007-04-03,AAPL  ,12.502205  ,-0.243381067579683  ,price
315  ,2007-04-03,GSPC  ,1437.77002 ,0.111281705540089   ,price
316  ,2007-04-04,MSFT  ,22.939113  ,0.175433984740388   ,price
317  ,2007-04-04,IBM   ,79.880522  ,0.322208710654153   ,price
318  ,2007-04-04,SBUX  ,14.358313  ,0.191443103378509   ,price
319  ,2007-04-04,AAPL  ,12.471777  ,0.434917975201131   ,price
320  ,2007-04-04,GSPC  ,1439.369995,0.304995589407152   ,price
321  ,2007-04-05,MSFT  ,22.979356  ,0.0700541825454095  ,price
322  ,2007-04-05,IBM   ,80.137904  ,0.103612642526813   ,price
323  ,2007-04-05,SBUX  ,14.385801  ,-0.828024800287452  ,price
324  ,2007-04-05,AAPL  ,12.526019  ,-1.0878715735622    ,price
325  ,2007-04-05,GSPC  ,1443.76001 ,0.0588723190913209  ,price
326  ,2007-04-09,MSFT  ,22.995454  ,-0.595026303894669  ,price
327  ,2007-04-09,IBM   ,80.220937  ,-0.165601406525596  ,price
328  ,2007-04-09,SBUX  ,14.266683  ,0.064226561983603   ,price
329  ,2007-04-09,AAPL  ,12.389752  ,0.640682719072998   ,price
330  ,2007-04-09,GSPC  ,1444.609985,0.261664396567209   ,price
331  ,2007-04-10,MSFT  ,22.858625  ,-1.02112441146395   ,price
332  ,2007-04-10,IBM   ,80.08809   ,-1.34770475859767   ,price
333  ,2007-04-10,SBUX  ,14.275846  ,-1.37997425861836   ,price
334  ,2007-04-10,AAPL  ,12.469131  ,-1.76126949023152   ,price
335  ,2007-04-10,GSPC  ,1448.390015,-0.657282907325202  ,price
336  ,2007-04-11,MSFT  ,22.62521   ,1.52970513864845    ,price
337  ,2007-04-11,IBM   ,79.008739  ,0.535934385688649   ,price
338  ,2007-04-11,SBUX  ,14.078843  ,-0.195250419370406  ,price
339  ,2007-04-11,AAPL  ,12.249516  ,-0.432017069082569  ,price
340  ,2007-04-11,GSPC  ,1438.869995,0.620629662932121   ,price
341  ,2007-04-12,MSFT  ,22.971309  ,0.24526682393241    ,price
342  ,2007-04-12,IBM   ,79.432174  ,-0.773490097350229  ,price
343  ,2007-04-12,SBUX  ,14.051354  ,0.29345214703152    ,price
